name,value,vary,lower,upper,stage,note
Tm1,324.2133822380313,1,300,380,1,thermo stage1
Tm2,359.1830528914419,1,330,400,1,thermo stage1
dH1,-13052.26845378919,1,-100000,-1000,1,thermo stage1
dH2,-58145.860497129834,1,-150000,-1000,1,thermo stage1
C11,0.1807800854132836,1,-3,3,2,init from preprocessing
C12,0.17361535147139187,1,-3,3,both,fit1 and fit2
C13,0.003099600079883927,1,-3,3,2,init from preprocessing
C21,-0.06670430352736927,1,-3,3,2,init from preprocessing
C22,0.01139134215245286,1,-3,3,both,fit1 and fit2
C23,0.43042615025951175,1,-3,3,2,init from preprocessing
C31,0.3416893334593017,1,-3,3,2,init from preprocessing
C32,-0.38325001037538853,1,-3,3,both,fit1 and fit2
C33,0.16490586242385016,1,-3,3,2,init from preprocessing
