name,value,vary,lower,upper,stage,note
Tm1,324.213601320827,1,300,380,1,thermo stage1
Tm2,359.18302529011277,1,330,400,1,thermo stage1
dH1,-13052.188718116606,1,-100000,-1000,1,thermo stage1
dH2,-58145.73751525357,1,-150000,-1000,1,thermo stage1
C11,-0.17914457270243375,1,-3,3,2,init from preprocessing
C12,-0.17285238761373012,1,-3,3,both,fit1 and fit2
C13,-0.012580350421504748,1,-3,3,2,init from preprocessing
C21,0.0633454152176981,1,-3,3,2,init from preprocessing
C22,-0.0142320648989641,1,-3,3,both,fit1 and fit2
C23,-0.40423608266663164,1,-3,3,2,init from preprocessing
C31,0.33449226923934205,1,-3,3,2,init from preprocessing
C32,-0.38050317759811325,1,-3,3,both,fit1 and fit2
C33,0.1743988262097379,1,-3,3,2,init from preprocessing
