wavelength,original,predicted,residual
330.0,0.690073,0.6386711414839736,0.05140185851602641
329.5,0.690435,0.6331496397705921,0.05728536022940789
329.0,0.697104,0.631506514795549,0.06559748520445097
328.5,0.68736,0.622135631678795,0.06522436832120493
328.0,0.689045,0.6200062372799091,0.06903876272009091
327.5,0.689428,0.6182369661805791,0.07119103381942093
327.0,0.670414,0.6171555380124482,0.0532584619875518
326.5,0.680347,0.6143310357792621,0.06601596422073797
326.0,0.685047,0.6167588302958563,0.06828816970414364
325.5,0.672441,0.618156877314012,0.05428412268598792
325.0,0.683554,0.6184592417938334,0.06509475820616661
324.5,0.667218,0.6272518930901182,0.03996610690988178
324.0,0.680959,0.637474354343543,0.04348464565645693
323.5,0.670866,0.6378534774738744,0.03301252252612552
323.0,0.680142,0.6373370545162439,0.04280494548375613
322.5,0.665172,0.6378055841044517,0.027366415895548335
322.0,0.653127,0.6365586829563761,0.016568317043623937
321.5,0.664882,0.6396414366788349,0.025240563321165088
321.0,0.670482,0.6412765650004502,0.029205434999549862
320.5,0.65544,0.6415167844820346,0.013923215517965382
320.0,0.651129,0.6369144580884302,0.014214541911569789
319.5,0.621399,0.6343405591082133,-0.012941559108213263
319.0,0.620628,0.6373745283431618,-0.016746528343161815
318.5,0.61372,0.6313446892680296,-0.017624689268029514
318.0,0.624659,0.6294260286740626,-0.0047670286740626455
317.5,0.602695,0.6262820358266835,-0.023587035826683533
317.0,0.59346,0.6223393100771054,-0.028879310077105425
316.5,0.584072,0.6285210047959876,-0.04444900479598757
316.0,0.591631,0.6269234095333058,-0.03529240953330581
315.5,0.606427,0.6263073155247594,-0.01988031552475933
315.0,0.6036,0.6311693181185221,-0.027569318118522035
314.5,0.603659,0.6313255085093264,-0.027666508509326504
314.0,0.615679,0.6363788468222604,-0.020699846822260448
313.5,0.616577,0.6367357847712325,-0.020158784771232452
313.0,0.635559,0.64205155667929,-0.006492556679290051
312.5,0.651465,0.6477903310992787,0.003674668900721212
312.0,0.649514,0.6446972702431535,0.0048167297568465495
311.5,0.648141,0.6451706587636838,0.002970341236316121
311.0,0.675093,0.651954163804574,0.023138836195426005
310.5,0.682664,0.6622874047009806,0.020376595299019473
310.0,0.695856,0.6743185798368361,0.021537420163163956
309.5,0.688566,0.68627943622677,0.0022865637732299993
309.0,0.712229,0.6984740728403253,0.013754927159674746
308.5,0.712458,0.7103631657121988,0.002094834287801217
308.0,0.747795,0.7315336868121066,0.016261313187893367
307.5,0.754877,0.7484672547444968,0.006409745255503196
307.0,0.793502,0.7755059716644183,0.017996028335581782
306.5,0.818915,0.8048461520593007,0.014068847940699292
306.0,0.850634,0.831412918874147,0.019221081125852968
305.5,0.891214,0.8678700954048717,0.02334390459512825
305.0,0.936183,0.9164659873956355,0.019717012604364537
304.5,0.969279,0.9558101530164541,0.01346884698354589
304.0,0.997931,0.9880411412531813,0.009889858746818692
303.5,1.0428,1.0213785050917488,0.021421494908251182
303.0,1.08194,1.0627293574168115,0.019210642583188386
302.5,1.11369,1.1055327678524016,0.008157232147598448
302.0,1.15264,1.1447268491441454,0.007913150855854756
301.5,1.17226,1.1754023552412143,-0.003142355241214201
301.0,1.18851,1.2018217827795572,-0.013311782779557246
300.5,1.21665,1.2299436728719577,-0.013293672871957707
300.0,1.22006,1.2458178032386054,-0.025757803238605437
299.5,1.22425,1.2673529838751707,-0.04310298387517064
299.0,1.23209,1.281233139382494,-0.04914313938249415
298.5,1.24305,1.283647433623432,-0.040597433623432044
298.0,1.24773,1.2854604969879262,-0.03773049698792619
297.5,1.25327,1.2877749688463402,-0.034504968846340134
297.0,1.23419,1.279230584663774,-0.04504058466377403
