name,value,vary,lower,upper,stage,note
Tm1,330.0,1,300,380,1,thermo stage1
Tm2,354.0,1,320,400,1,thermo stage1
dH1,-21000.0,1,-100000,-1000,1,thermo stage1
dH2,-35000.0,1,-150000,-1000,1,thermo stage1
C11,0.17914457270243378,1,-3,3,2,init from preprocessing
C12,0.1,1,-3,3,both,central column
C13,0.012580350421504778,1,-3,3,2,init from preprocessing
C21,-0.06334541521769797,1,-3,3,2,init from preprocessing
C22,0.1,1,-3,3,both,central column
C23,0.4042360826666315,1,-3,3,2,init from preprocessing
C31,0.3344922692393428,1,-3,3,2,init from preprocessing
C32,0.1,1,-3,3,both,central column
C33,0.17439882620973818,1,-3,3,2,init from preprocessing
